Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Season
E0,11/09/2010,West Brom,Tottenham,1,1,D,1.0,1.0,D,H Webb,15.0,16.0,8.0,9.0,12.0,9.0,9.0,4.0,2.0,1.0,0.0,0.0,3.75,3.25,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,11/09/2010,West Ham,Chelsea,1,3,A,0.0,2.0,A,C Foy,13.0,17.0,7.0,9.0,13.0,10.0,1.0,5.0,2.0,2.0,0.0,0.0,10.0,5.0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,11/09/2010,Wigan,Sunderland,1,1,D,0.0,0.0,D,A Marriner,17.0,4.0,4.0,2.0,19.0,11.0,5.0,1.0,4.0,2.0,0.0,1.0,2.5,3.25,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,12/09/2010,Birmingham,Liverpool,0,0,D,0.0,0.0,D,M Halsey,15.0,14.0,3.0,8.0,8.0,9.0,4.0,3.0,1.0,0.0,0.0,0.0,3.1,3.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,13/09/2010,Stoke,Aston Villa,2,1,H,0.0,1.0,A,L Probert,20.0,10.0,12.0,6.0,11.0,14.0,8.0,7.0,1.0,2.0,0.0,0.0,2.5,3.25,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,18/09/2010,Aston Villa,Bolton,1,1,D,1.0,1.0,D,M Dean,13.0,13.0,6.0,7.0,15.0,8.0,8.0,4.0,1.0,2.0,0.0,0.0,1.8,3.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,18/09/2010,Blackburn,Fulham,1,1,D,1.0,0.0,H,A Taylor,9.0,9.0,5.0,4.0,15.0,10.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,3.3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,18/09/2010,Everton,Newcastle,0,1,A,0.0,1.0,A,A Marriner,6.0,9.0,3.0,4.0,15.0,21.0,3.0,6.0,2.0,3.0,0.0,0.0,1.62,3.75,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,18/09/2010,Stoke,West Ham,1,1,D,0.0,1.0,A,L Mason,9.0,13.0,3.0,6.0,14.0,8.0,6.0,3.0,3.0,2.0,0.0,0.0,1.91,3.4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,18/09/2010,Sunderland,Arsenal,1,1,D,0.0,1.0,A,P Dowd,16.0,16.0,5.0,7.0,11.0,13.0,11.0,3.0,2.0,2.0,0.0,1.0,5.5,3.7,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
